"# Device id and info table",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,"Reserved flash start",,"Scratchpad (SFLE=1)",,,,,,,,,"C2 Breakpoint SFR's",,,,,,,,
"# Name","Deviceid","Derivativeid","Version","String observed","Flash size","Flash sector Size","Xram size","External bus","Tested","Lock Type","Read lock","Write Lock","Single lock","Bottom","Top","Present","Start","Length","Sector Size","Paged SFR","SFR_Page","USB FIFO","Debug Interface","Cache","BP0L","BP0H","BP1L","BP1H","BP2L","BP2H","BP3L","BP3H","Comments"
"C8051F016","0x02","0x1a",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F017","0x02","0x1b",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F020","0x03","0x1c",-1,,"0x10000",512,4096,TRUE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F021","0x03","0x1d",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F022","0x03","0x1e",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F023","0x03","0x1f",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F300","0x04","0x20",-1,,"0x2000",512,0,FALSE,TRUE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F301","0x04","0x21",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F302","0x04","0x22",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F303","0x04","0x23",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
